warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
153,1954,2370,3.892271131993976e-6,608899,3678,2605234,9172028234.028664,4586014117.014332,4586014117.014332,537801451.0944357,8634226782.934227,642102836489.3679,321051418244.68396,321051418244.68396,17738442251.09099,624364394238.277,0.074,0.0785,0.0785,0.083,-8,-8,-8,-8,2424872000
155,1956,9221,5.4995258515289055e-5,167669,1971,8948532,1045240748527.3265,174206791421.2211,5746477064.350495,1,620629423988.5006,1220401161660.1638,203400193610.0273,24064414272.212036,13419839383.826084,675014493877.8215,0.077,0.349,0.4003333333333333,0.799,-7,1.5,1.5,10,2593840000
156,1956,2426,1.1576139600799737e-5,209569,5315,26962088,1049637182782.5652,524818591391.2826,524818591391.2826,41626382587.05392,1008010800195.5112,1268578778408.6206,634289389204.3103,634289389204.3103,52077560898.3004,1216501217510.3203,0.107,0.121,0.121,0.135,-7,-7,-7,-7,2593840000
158,1957,2122,2.206807616710172e-5,96157,1463,3853978,611936602355.2517,152984150588.81293,73747435473.16687,7875322711.054429,456566408697.8636,715215847336.9762,178803961834.24405,95677509515.45758,19781242952.122635,504079585353.9384,0.072,0.076,0.245,0.756,-7,-5,-3,5,2655025000
159,1958,1800,2.784627617936715e-6,646406,3812,6148307,136499753756.0709,68249876878.03545,68249876878.03545,13062351523.698135,123437402232.37277,816470157963.7997,408235078981.89984,408235078981.89984,23540778274.018433,792929379689.78125,0.07,0.07600000000000001,0.07600000000000001,0.082,-8,-8,-8,-8,2706332000
160,1962,1853,1.6332193105928331e-6,1134569,3100,10239668,69320048400.66953,34660024200.33476,34660024200.33476,1,69320048399.66953,1170458024539.2092,585229012269.6046,585229012269.6046,550448919763.3983,620009104775.8109,0.069,0.36050000000000004,0.36050000000000004,0.652,-8,0.5,0.5,9,3070454000
163,1965,5221442,0.011357577893207347,459732,6313,56289170,4838512869976.233,345608062141.15955,18042573561.033604,1,4419289268028.412,5368357343625.667,383454095973.26196,46096368064.726814,5209528.965763344,4627324707169.161,0.112,0.231,0.30328571428571427,0.844,-8,-7,-3.1538461538461537,10,3284790000
166,1965,7061,1.1855451140128041e-5,595591,1497,2232682,117020506495.73135,58510253247.86568,58510253247.86568,15451933838.53373,101568572657.19762,710876036027.1631,355438018013.58154,355438018013.58154,96421977987.50716,614454058039.6559,0.137,0.4035,0.4035,0.67,1,5,5,9,3284790000
169,1967,21600,4.619826756496631e-4,46755,585,2241009,115466941542.9421,19244490257.157017,21528840431.25141,5741578445.613949,28211626015.959187,165206551213.43576,27534425202.239296,31054203047.07542,7291681392.042108,43936005864.05169,0.103,0.4325,0.4055,0.669,-9,1,0.6666666666666666,9,3423668000
170,1968,18366,6.0893004565483355e-5,301611,5133,82591019,5205623738912.915,867603956485.4858,13206830568.37711,434193133.0039463,5119101237396.012,5554152731036.643,925692121839.4404,43629527747.86122,3329207085.0904093,5333346402681.506,0.154,0.225,0.2961666666666667,0.694,-8,-3.5,-2.1666666666666665,8,3496537000
172,1969,5368,1.525e-4,35200,330,1655959,50568923819.41845,25284461909.709225,25284461909.709225,15938445761.461212,34630478057.95724,88687281594.5398,44343640797.2699,44343640797.2699,37589853605.18443,51097427989.35536,0.188,0.4295,0.4295,0.671,-7,1,1,9,3569243000
175,1969,1900,3.1905961376994124e-4,5955,10,17580,7128610384.682623,3564305192.3413115,3564305192.3413115,2946842219.775163,4181768164.9074593,13533516549.248932,6766758274.624466,6766758274.624466,6604387250.073134,6929129299.1757965,0.151,0.1725,0.1725,0.194,-1,-0.5,-0.5,0,3569243000
176,1970,7325,2.4934472546550022e-5,293770,5511,80805132,5356447390180.307,892741231696.7178,6704199781.330725,1,5333346402681.506,5677749886056.391,946291647676.0651,38773389086.96424,5246123.600316663,5551004398411.123,0.153,0.225,0.30833333333333335,0.695,-7,-7,-4,8,3658182000
